#FORMAT=WebAnno TSV 3.1
#T_SP=webanno.custom.Segmentstructural|Category
#T_SP=webanno.custom.EXT|SEG


#Text=Building ( 1 ) accessible to persons , which comprises at least one constructional element ( 2 ) forming walls of a space within said building ( 1 ) , which element ( 2 ) is tubular and which is at least substantially made of wound-together layers of a strip of sheet material , characterized in that said constructional element ( 2 ) is at least substantially made of wound-together layers ( 5,6 ) of a strip of paper/cardboard , wherein each layer ( 5,6 ) is at least substantially made up of a corrugated sublayer and a flat sublayer affixed to one side thereof , wherein said wound-together paper/cardboard layers ( 5,6 ) are interconnected via a glue which has been applied to ridges of the corrugated sublayers .
1-1	0-8	Building	INVENTION[1]	INVENTION[1]	
1-2	9-10	(	INVENTION[1]|FIGURE\_REF[2]	INVENTION[1]|FIGURE\_REF[2]	
1-3	11-12	1	INVENTION[1]|FIGURE\_REF[2]	INVENTION[1]|FIGURE\_REF[2]	
1-4	13-14	)	INVENTION[1]|FIGURE\_REF[2]	INVENTION[1]|FIGURE\_REF[2]	
1-5	15-25	accessible	INVENTION[1]	INVENTION[1]	
1-6	26-28	to	INVENTION[1]	INVENTION[1]	
1-7	29-36	persons	INVENTION[1]	INVENTION[1]	
1-8	37-38	,	_	_	
1-9	39-44	which	REQT\[1\][3]	DETAIL\_START	
1-10	45-54	comprises	REQT\[1\][3]	COMPOSITION[4]	
1-11	55-57	at	REQT\[1\][3]	COMPOSITION[4]	
1-12	58-63	least	REQT\[1\][3]	COMPOSITION[4]	
1-13	64-67	one	REQT\[1\][3]	COMPOSITION[4]	
1-14	68-82	constructional	REQT\[1\][3]	COMPOSITION[4]|INVENTION\_OBJ[5]	
1-15	83-90	element	REQT\[1\][3]	COMPOSITION[4]|INVENTION\_OBJ[5]	
1-16	91-92	(	REQT\[1\][3]|FIGURE\_REF[4]	COMPOSITION[4]|INVENTION\_OBJ[5]|FIGURE\_REF[6]	
1-17	93-94	2	REQT\[1\][3]|FIGURE\_REF[4]	COMPOSITION[4]|INVENTION\_OBJ[5]|FIGURE\_REF[6]	
1-18	95-96	)	REQT\[1\][3]|FIGURE\_REF[4]	COMPOSITION[4]|INVENTION\_OBJ[5]|FIGURE\_REF[6]	
1-19	97-104	forming	REQT\[1\][3]	COMPOSITION[4]|INVENTION\_OBJ[5]|OBJ\_FUNCTION[7]	
1-20	105-110	walls	REQT\[1\][3]	COMPOSITION[4]|INVENTION\_OBJ[5]|OBJ\_FUNCTION[7]	
1-21	111-113	of	REQT\[1\][3]	COMPOSITION[4]|INVENTION\_OBJ[5]|OBJ\_FUNCTION[7]	
1-22	114-115	a	REQT\[1\][3]	COMPOSITION[4]|INVENTION\_OBJ[5]|OBJ\_FUNCTION[7]	
1-23	116-121	space	REQT\[1\][3]	COMPOSITION[4]|INVENTION\_OBJ[5]|OBJ\_FUNCTION[7]	
1-24	122-128	within	REQT\[1\][3]	COMPOSITION[4]|INVENTION\_OBJ[5]|OBJ\_FUNCTION[7]	
1-25	129-133	said	REQT\[1\][3]	COMPOSITION[4]|INVENTION\_OBJ[5]|OBJ\_FUNCTION[7]	
1-26	134-142	building	REQT\[1\][3]	COMPOSITION[4]|INVENTION\_OBJ[5]|OBJ\_FUNCTION[7]	
1-27	143-144	(	REQT\[1\][3]|FIGURE\_REF[5]	COMPOSITION[4]|INVENTION\_OBJ[5]|OBJ\_FUNCTION[7]|FIGURE\_REF[8]	
1-28	145-146	1	REQT\[1\][3]|FIGURE\_REF[5]	COMPOSITION[4]|INVENTION\_OBJ[5]|OBJ\_FUNCTION[7]|FIGURE\_REF[8]	
1-29	147-148	)	REQT\[1\][3]|FIGURE\_REF[5]	COMPOSITION[4]|INVENTION\_OBJ[5]|OBJ\_FUNCTION[7]|FIGURE\_REF[8]	
1-30	149-150	,	_	_	
1-31	151-156	which	REQT\[2\][6]	_	
1-32	157-164	element	REQT\[2\][6]	INVENTION\_OBJ[9]	
1-33	165-166	(	REQT\[2\][6]|FIGURE\_REF[7]	INVENTION\_OBJ[9]|FIGURE\_REF[10]	
1-34	167-168	2	REQT\[2\][6]|FIGURE\_REF[7]	INVENTION\_OBJ[9]|FIGURE\_REF[10]	
1-35	169-170	)	REQT\[2\][6]|FIGURE\_REF[7]	INVENTION\_OBJ[9]|FIGURE\_REF[10]	
1-36	171-173	is	REQT\[2\][6]	INVENTION\_OBJ[9]|COMPOSITION[11]	
1-37	174-181	tubular	REQT\[2\][6]	INVENTION\_OBJ[9]|COMPOSITION[11]	
1-38	182-185	and	REQT\[2\][6]	INVENTION\_OBJ[9]|COMPOSITION[11]	
1-39	186-191	which	REQT\[2\][6]	INVENTION\_OBJ[9]|COMPOSITION[11]	
1-40	192-194	is	REQT\[2\][6]	INVENTION\_OBJ[9]|COMPOSITION[11]	
1-41	195-197	at	REQT\[2\][6]	INVENTION\_OBJ[9]|COMPOSITION[11]	
1-42	198-203	least	REQT\[2\][6]	INVENTION\_OBJ[9]|COMPOSITION[11]	
1-43	204-217	substantially	REQT\[2\][6]	INVENTION\_OBJ[9]|COMPOSITION[11]	
1-44	218-222	made	REQT\[2\][6]	INVENTION\_OBJ[9]|COMPOSITION[11]	
1-45	223-225	of	REQT\[2\][6]	INVENTION\_OBJ[9]|COMPOSITION[11]	
1-46	226-240	wound-together	REQT\[2\][6]	INVENTION\_OBJ[9]|COMPOSITION[11]	
1-47	241-247	layers	REQT\[2\][6]	INVENTION\_OBJ[9]|COMPOSITION[11]	
1-48	248-250	of	REQT\[2\][6]	INVENTION\_OBJ[9]|COMPOSITION[11]	
1-49	251-252	a	REQT\[2\][6]	INVENTION\_OBJ[9]|COMPOSITION[11]	
1-50	253-258	strip	REQT\[2\][6]	INVENTION\_OBJ[9]|COMPOSITION[11]	
1-51	259-261	of	REQT\[2\][6]	INVENTION\_OBJ[9]|COMPOSITION[11]	
1-52	262-267	sheet	REQT\[2\][6]	INVENTION\_OBJ[9]|COMPOSITION[11]	
1-53	268-276	material	REQT\[2\][6]	INVENTION\_OBJ[9]|COMPOSITION[11]	
1-54	277-278	,	_	_	
1-55	279-292	characterized	REQT\[2\][8]	_	
1-56	293-295	in	REQT\[2\][8]	_	
1-57	296-300	that	REQT\[2\][8]	_	
1-58	301-305	said	REQT\[2\][8]	INVENTION\_OBJ[12]	
1-59	306-320	constructional	REQT\[2\][8]	INVENTION\_OBJ[12]	
1-60	321-328	element	REQT\[2\][8]	INVENTION\_OBJ[12]	
1-61	329-330	(	REQT\[2\][8]|FIGURE\_REF[9]	INVENTION\_OBJ[12]|FIGURE\_REF[13]	
1-62	331-332	2	REQT\[2\][8]|FIGURE\_REF[9]	INVENTION\_OBJ[12]|FIGURE\_REF[13]	
1-63	333-334	)	REQT\[2\][8]|FIGURE\_REF[9]	INVENTION\_OBJ[12]|FIGURE\_REF[13]	
1-64	335-337	is	REQT\[2\][8]	INVENTION\_OBJ[12]|COMPOSITION[14]	
1-65	338-340	at	REQT\[2\][8]	INVENTION\_OBJ[12]|COMPOSITION[14]	
1-66	341-346	least	REQT\[2\][8]	INVENTION\_OBJ[12]|COMPOSITION[14]	
1-67	347-360	substantially	REQT\[2\][8]	INVENTION\_OBJ[12]|COMPOSITION[14]	
1-68	361-365	made	REQT\[2\][8]	INVENTION\_OBJ[12]|COMPOSITION[14]	
1-69	366-368	of	REQT\[2\][8]	INVENTION\_OBJ[12]|COMPOSITION[14]	
1-70	369-383	wound-together	REQT\[2\][8]	INVENTION\_OBJ[12]|COMPOSITION[14]	
1-71	384-390	layers	REQT\[2\][8]	INVENTION\_OBJ[12]|COMPOSITION[14]	
1-72	391-392	(	REQT\[2\][8]|FIGURE\_REF[10]	INVENTION\_OBJ[12]|COMPOSITION[14]	
1-73	393-396	5,6	REQT\[2\][8]|FIGURE\_REF[10]	INVENTION\_OBJ[12]|COMPOSITION[14]	
1-74	397-398	)	REQT\[2\][8]|FIGURE\_REF[10]	INVENTION\_OBJ[12]|COMPOSITION[14]	
1-75	399-401	of	REQT\[2\][8]	INVENTION\_OBJ[12]|COMPOSITION[14]	
